                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8052,                 1.9999,                 1.9468,                0.51639,                0.45759,                 0.4242,                0.23585,                 1.7094,                 1.9611,                 1.9011,             0.00090969,             0.00090969,             0.00090969
                     35,                 1.7913,                 1.9469,                 1.8813,                0.50894,                0.44171,                0.46667,                0.25582,                 1.7053,                 1.9055,                 1.8809,             0.00089938,             0.00089938,             0.00089938
                     36,                 1.7253,                 1.8684,                 1.8199,                0.63129,                0.51453,                0.50542,                0.26721,                 1.7308,                 1.8007,                 1.8655,             0.00088906,             0.00088906,             0.00088906
                     37,                 1.8009,                  1.832,                 1.8073,                0.65878,                0.55574,                 0.5551,                0.30958,                 1.6803,                 1.5974,                 1.8123,             0.00087875,             0.00087875,             0.00087875
                     38,                 1.7093,                 1.7689,                  1.782,                0.51863,                0.52561,                0.54538,                0.28902,                 1.7051,                 1.5411,                 1.8027,             0.00086844,             0.00086844,             0.00086844
                     39,                 1.8634,                 1.7759,                 1.8466,                0.45128,                0.52545,                0.52596,                0.28315,                 1.6983,                 1.8195,                 1.8113,             0.00085813,             0.00085813,             0.00085813
                     40,                 1.7692,                 1.6887,                 1.8075,                0.58288,                0.47694,                0.51515,                0.26051,                 1.7616,                  1.843,                 1.8807,             0.00084781,             0.00084781,             0.00084781
                     41,                 1.7981,                 1.7085,                 1.8429,                0.58391,                0.54879,                0.53514,                0.25149,                 1.7937,                 1.7322,                 1.8916,              0.0008375,              0.0008375,              0.0008375
                     42,                 1.7661,                 1.7178,                 1.7822,                0.63754,                0.57701,                0.53294,                0.29001,                  1.628,                 1.6018,                 1.7406,             0.00082719,             0.00082719,             0.00082719
                     43,                 1.6732,                 1.6745,                 1.7692,                0.60268,                0.56404,                0.50756,                0.27811,                 1.6435,                 1.7388,                 1.7511,             0.00081688,             0.00081688,             0.00081688
                     44,                 1.6767,                 1.5291,                 1.6727,                0.64049,                0.52507,                0.51782,                0.28469,                 1.6446,                  1.809,                 1.7377,             0.00080656,             0.00080656,             0.00080656
                     45,                 1.7319,                 1.5878,                 1.7287,                0.72524,                0.56582,                0.62832,                0.35378,                  1.599,                  1.595,                 1.6829,             0.00079625,             0.00079625,             0.00079625
                     46,                 1.6368,                 1.5597,                 1.6708,                0.70237,                0.58539,                0.64008,                0.36759,                 1.5714,                 1.4611,                 1.6253,             0.00078594,             0.00078594,             0.00078594
                     47,                 1.6747,                 1.5893,                 1.6666,                0.72897,                 0.6095,                0.65729,                0.37854,                 1.5857,                 1.3718,                 1.6049,             0.00077563,             0.00077563,             0.00077563
                     48,                 1.6147,                 1.4981,                 1.6365,                0.79089,                0.63342,                0.71096,                0.43442,                 1.5446,                 1.1759,                 1.5612,             0.00076531,             0.00076531,             0.00076531
                     49,                 1.6827,                 1.5511,                 1.7217,                0.74678,                0.62972,                0.68997,                0.42887,                 1.5394,                 1.2196,                 1.5528,               0.000755,               0.000755,               0.000755
                     50,                 1.6201,                  1.535,                 1.6275,                0.70768,                0.63823,                0.69757,                0.39577,                 1.5434,                 1.2388,                 1.5455,             0.00074469,             0.00074469,             0.00074469
